"","Neighborhood","ZIPCode","Community.Area","Community.Area.Name","Diabetes.related","Per.Capita.Income","Unemployment","2010Pop","Birth.Rate","General.Fertility.Rate","Low.Birth.Weight","Prenatal.Care.Beginning.in.First.Trimester","Preterm.Births","Teen.Birth.Rate","Assault..Homicide.","Breast.cancer.in.females","Cancer..All.Sites.","Colorectal.Cancer","Diabetes.related.1","Firearm.related","Infant.Mortality.Rate","Lung.Cancer","Prostate.Cancer.in.Males","Stroke..Cerebrovascular.Disease.","Childhood.Blood.Lead.Level.Screening","Childhood.Lead.Poisoning","Gonorrhea.in.Females","Gonorrhea.in.Males","Tuberculosis","Below.Poverty.Level","Crowded.Housing","Dependency","No.High.School.Diploma","AcresOfParks","NumberOfParks","Liquor Licenses","Grocery Stores"
"1","ALBANY PARK",60618,14,"Albany Park",72.1,20355,9,1299,18.3,76.5,8.5,73.3,8.3,44.5,4.7,22.9,158.1,16.8,72.1,5.3,4.9,36.9,13.1,39.1,374.1,1.2,72.9,"101.8",16.8,17.1,11.2,32.1,34.9,128.92,17,230,12
"2","ALBANY PARK",60630,10,"Norwood Park",47.3,31659,7.3,292,10.4,59.6,4.9,89.4,8.3,3.4,4.7,20.7,180.8,18.9,47.3,8.7,4.4,44.5,26.4,45.2,163.1,0,NA,".",1.6,5.9,2.3,40.6,13.5,82.19,13,85,12
"3","ALBANY PARK",60618,21,"Avondale",52.7,20489,9.3,34445,18.5,77.7,7.3,74.4,7.5,63.4,4.7,16.6,133.9,13.4,52.7,4.6,5.7,32.5,37.7,36,373.3,0.7,85.3,"92.2",10.1,14.6,5.8,30.4,25.7,128.92,17,230,12
"4","ALBANY PARK",60618,5,"North Center",49.8,51615,4.5,23101,22.4,76.2,9.1,80.4,9.8,8.4,1,16.6,152.1,26.1,49.8,1,2.7,42.4,15.1,41.6,178.1,0.9,85.4,"188.6",1.9,7.1,0.2,25.5,5.4,128.92,17,230,12
"5","ALBANY PARK",60618,16,"Irving Park",60.2,26713,10.3,32502,15.8,67.1,7.7,79.9,10.2,37,4.1,29.9,169.4,19.2,60.2,5.7,5.3,41.3,17.9,42,333.5,0.6,159.6,"74.5",9.3,10.8,5.6,31.6,22,128.92,17,230,12
"6","ALBANY PARK",60625,13,"North Park",58.9,24941,7.5,6101,10.9,54.2,9.7,79.1,10.2,10.5,3,20.4,143.7,21.9,58.9,3.1,5.4,34.7,14.6,26.7,317.3,0.4,NA,".",8.9,12.4,3.8,39.7,18.2,103.63,13,131,12
"7","ALBANY PARK",60618,22,"Logan Square",75.7,29026,7.5,647,18.2,63.5,7.2,78.2,9.4,66.1,8.6,9.2,148.7,13.7,75.7,10.2,4.3,37.7,17.5,31.9,364.4,0.9,209,"159.3",8.4,17.2,3.2,26.7,18.5,128.92,17,230,12
"8","ALBANY PARK",60630,15,"Portage Park",48.2,23617,10.6,14234,14.2,66.1,6.9,79.8,8.7,41.7,3.3,23.3,168.7,15.9,48.2,4.7,4.7,44.9,14.8,37.9,287.3,0.5,87.7,"84.9",4,12.3,4.4,34.6,18.7,82.19,13,85,12
"9","ALBANY PARK",60630,13,"North Park",58.9,24941,7.5,766,10.9,54.2,9.7,79.1,10.2,10.5,3,20.4,143.7,21.9,58.9,3.1,5.4,34.7,14.6,26.7,317.3,0.4,NA,".",8.9,12.4,3.8,39.7,18.2,82.19,13,85,12
"10","ALBANY PARK",60630,14,"Albany Park",72.1,20355,9,10765,18.3,76.5,8.5,73.3,8.3,44.5,4.7,22.9,158.1,16.8,72.1,5.3,4.9,36.9,13.1,39.1,374.1,1.2,72.9,"101.8",16.8,17.1,11.2,32.1,34.9,82.19,13,85,12
"11","ALBANY PARK",60630,12,"Forest Glen",37.2,41509,5.5,3515,10,60.6,7.6,79.3,10.3,6.3,3.3,25,138.7,14.3,37.2,6.2,3.8,27,20.3,31,160.8,0,NA,".",2.2,6.1,1.3,40.6,6.3,82.19,13,85,12
"12","ALBANY PARK",60630,11,"Jefferson Park",49.2,27280,9,20721,13.8,67.8,6.6,82.9,7.7,28.6,4.8,18.4,208.2,23.2,49.2,4.2,8.3,55.7,32.1,41.9,236.8,0.2,NA,".",7.1,6.4,1.9,34.4,13.5,82.19,13,85,12
"13","ALBANY PARK",60625,4,"Lincoln Square",55.4,35503,6.8,33115,17.1,61,8.1,80.5,9.7,38.4,5,21.7,153.2,8.6,55.4,6.1,3.8,43.1,27.6,36.9,273.3,0.4,98.8,"195.5",8.5,9.5,3.1,25.6,12.5,103.63,13,131,12
"14","ALBANY PARK",60630,16,"Irving Park",60.2,26713,10.3,3800,15.8,67.1,7.7,79.9,10.2,37,4.1,29.9,169.4,19.2,60.2,5.7,5.3,41.3,17.9,42,333.5,0.6,159.6,"74.5",9.3,10.8,5.6,31.6,22,82.19,13,85,12
"15","ALBANY PARK",60625,14,"Albany Park",72.1,20355,9,39435,18.3,76.5,8.5,73.3,8.3,44.5,4.7,22.9,158.1,16.8,72.1,5.3,4.9,36.9,13.1,39.1,374.1,1.2,72.9,"101.8",16.8,17.1,11.2,32.1,34.9,103.63,13,131,12
"16","ALBANY PARK",60618,4,"Lincoln Square",55.4,35503,6.8,90,17.1,61,8.1,80.5,9.7,38.4,5,21.7,153.2,8.6,55.4,6.1,3.8,43.1,27.6,36.9,273.3,0.4,98.8,"195.5",8.5,9.5,3.1,25.6,12.5,128.92,17,230,12
"17","ARCHER HEIGHTS",60632,58,"Brighton Park",69.7,13138,11.2,45122,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,580.4,0.9,97.2,"52.7",11.5,23,13.2,39.8,48.2,34.88,7,97,4
"18","ARCHER HEIGHTS",60632,62,"West Elsdon",68.5,16938,13.5,7243,20.8,92.3,4.6,81.2,7.5,45.5,5.9,12.1,180.6,11.5,68.5,7.7,8.1,57.8,44.7,42.6,492.6,0.2,122,"115.9",4.5,9.8,8.7,38.7,39.6,34.88,7,97,4
"19","ARCHER HEIGHTS",60632,63,"Gage Park",65,12014,14,21641,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1,34.88,7,97,4
"20","ARCHER HEIGHTS",60632,56,"Garfield Ridge",80.3,24684,8.1,3752,13.4,69,8,81.7,9.5,33.7,9.9,31,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,354.9,0.1,180,"101.8",3.5,9,2.6,39.5,19.4,34.88,7,97,4
"21","ARCHER HEIGHTS",60632,30,"South Lawndale",65,10697,11.5,0,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,"106.8",7.9,28.1,17.6,33.1,58.7,34.88,7,97,4
"22","ARCHER HEIGHTS",60632,59,"McKinley Park",61.4,17577,11.9,175,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8,34.88,7,97,4
"23","ARCHER HEIGHTS",60632,57,"Archer Heights",67.7,16145,14.2,13393,18.1,80,8.7,74.3,10,50.3,16.6,25.2,166.3,9,67.7,15.4,5.2,49.6,20.5,41.8,543.5,0.5,NA,".",1.5,13,8.5,40.5,36.4,34.88,7,97,4
"24","ARMOUR SQUARE",60616,28,"Near West Side",62.3,41488,10.7,147,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,"466.5",14.1,21.6,3.8,22.9,11.2,688.81,17,166,4
"25","ARMOUR SQUARE",60616,35,"Douglas",119.1,23098,16.7,12634,10.3,42.2,11.7,76,10.2,34.2,13.6,34.3,269.9,33.2,119.1,9.1,13.4,74.5,85.5,62.1,482.2,0,1063.3,"727.4",4.2,26.1,1.6,31,16.9,688.81,17,166,4
"26","ARMOUR SQUARE",60616,34,"Armour Square",42.5,16942,11.6,12485,11.5,57.1,12.4,79.1,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7,490.3,0.2,222.6,"218",22.7,35.8,5.9,37.9,37.5,688.81,17,166,4
"27","ARMOUR SQUARE",60616,60,"Bridgeport",49.8,24969,11.2,11701,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,"65",9.9,17.3,4.8,32.3,25.6,688.81,17,166,4
