"","ZIPCode","Community.Area","Community.Area.Name","Birth.Rate","Prostate.Cancer.in.Males","General.Fertility.Rate","Low.Birth.Weight","Prenatal.Care.Beginning.in.First.Trimester","Preterm.Births","Teen.Birth.Rate","Assault..Homicide.","Breast.cancer.in.females","Cancer..All.Sites.","Colorectal.Cancer","Diabetes.related","Firearm.related","Infant.Mortality.Rate","Lung.Cancer","Prostate.Cancer.in.Males.1","Stroke..Cerebrovascular.Disease.","Childhood.Blood.Lead.Level.Screening","Childhood.Lead.Poisoning","Gonorrhea.in.Females","Gonorrhea.in.Males","Tuberculosis","Below.Poverty.Level","Crowded.Housing","Dependency","No.High.School.Diploma","Per.Capita.Income","Unemployment","2010Pop","Neighborhood"
"1",60601,32,"Loop",9.4,17.2,27.7,5.3,78.2,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4,5.7,29.2,17.2,39,297.3,0.3,129.9,"200.5",6.5,11.1,2,15.5,3.4,67699,4.2,11110,"LOOP"
"2",60605,32,"Loop",9.4,17.2,27.7,5.3,78.2,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4,5.7,29.2,17.2,39,297.3,0.3,129.9,"200.5",6.5,11.1,2,15.5,3.4,67699,4.2,13355,"NEAR SOUTH SIDE"
"3",60605,32,"Loop",9.4,17.2,27.7,5.3,78.2,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4,5.7,29.2,17.2,39,297.3,0.3,129.9,"200.5",6.5,11.1,2,15.5,3.4,67699,4.2,13355,"LOOP"
"4",60605,33,"Near South Side",21.4,51.4,72.9,8.8,78.1,10.9,50.9,4.8,31.9,169,19.2,61.5,6.6,4.8,46.2,51.4,52.4,301.3,0.2,300.6,"318.7",5,11.1,1.4,21,7.1,60593,5.7,11313,"NEAR SOUTH SIDE"
"5",60605,33,"Near South Side",21.4,51.4,72.9,8.8,78.1,10.9,50.9,4.8,31.9,169,19.2,61.5,6.6,4.8,46.2,51.4,52.4,301.3,0.2,300.6,"318.7",5,11.1,1.4,21,7.1,60593,5.7,11313,"LOOP"
"6",60607,28,"Near West Side",18.2,33.6,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,"466.5",14.1,21.6,3.8,22.9,11.2,41488,10.7,21873,"NEAR WEST SIDE"
"7",60607,32,"Loop",9.4,17.2,27.7,5.3,78.2,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4,5.7,29.2,17.2,39,297.3,0.3,129.9,"200.5",6.5,11.1,2,15.5,3.4,67699,4.2,2024,"NEAR WEST SIDE"
"8",60608,30,"South Lawndale",19.5,32.7,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,"106.8",7.9,28.1,17.6,33.1,58.7,10697,11.5,16654,"LOWER WEST SIDE"
"9",60608,30,"South Lawndale",19.5,32.7,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,"106.8",7.9,28.1,17.6,33.1,58.7,10697,11.5,16654,"SOUTH LAWNDALE"
"10",60608,30,"South Lawndale",19.5,32.7,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,"106.8",7.9,28.1,17.6,33.1,58.7,10697,11.5,16654,"BRIDGEPORT"
"11",60608,30,"South Lawndale",19.5,32.7,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,"106.8",7.9,28.1,17.6,33.1,58.7,10697,11.5,16654,"MCKINLEY PARK"
"12",60608,30,"South Lawndale",19.5,32.7,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,"106.8",7.9,28.1,17.6,33.1,58.7,10697,11.5,16654,"NEAR WEST SIDE"
"13",60608,31,"Lower West Side",16.5,14.3,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3,15467,13,34380,"LOWER WEST SIDE"
"14",60608,31,"Lower West Side",16.5,14.3,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3,15467,13,34380,"SOUTH LAWNDALE"
"15",60608,31,"Lower West Side",16.5,14.3,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3,15467,13,34380,"BRIDGEPORT"
"16",60608,31,"Lower West Side",16.5,14.3,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3,15467,13,34380,"MCKINLEY PARK"
"17",60608,31,"Lower West Side",16.5,14.3,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3,15467,13,34380,"NEAR WEST SIDE"
"18",60608,59,"McKinley Park",16.7,0,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8,17577,11.9,6594,"LOWER WEST SIDE"
"19",60608,59,"McKinley Park",16.7,0,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8,17577,11.9,6594,"SOUTH LAWNDALE"
"20",60608,59,"McKinley Park",16.7,0,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8,17577,11.9,6594,"BRIDGEPORT"
