"","ward","crime_tot(2010-2019)"
"1",1,50754
"2",2,105104
"3",3,71753
"4",4,48514
"5",5,65975
"6",6,90954
"7",7,73978
"8",8,74739
"9",9,70661
"10",10,47794
"11",11,36296
"12",12,33605
"13",13,34304
"14",14,37555
"15",15,72769
"16",16,75341
"17",17,92945
"18",18,46136
"19",19,23743
"20",20,85752
"21",21,83521
"22",22,32503
"23",23,32440
"24",24,117682
"25",25,38335
"26",26,42799
"27",27,98971
"28",28,128864
"29",29,65011
"30",30,37292
"31",31,37600
"32",32,45771
"33",33,27093
"34",34,74920
"35",35,34479
"36",36,28257
"37",37,72560
"38",38,28939
"39",39,26083
"40",40,27733
"41",41,30275
"42",42,131350
"43",43,36374
"44",44,42037
"45",45,28242
"46",46,35663
"47",47,27385
"48",48,25942
"49",49,36898
"50",50,28171
